text,date,location,polarity,subjectivity,classification
"In the past 24 hours, 249,600 Moderna and 1M Sinovac arrived in the PH.",,,,,
Latest breakdown as of June 28, 2021,,,,
"Sinovac…""",Mon Jun 28 14:44:35 +0000 2021,Manila,0.125,0.575,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:35 +0000 2021,"Washington, DC",0.5,0.5,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:37 +0000 2021,Bogotá,0.5,0.5,Positive
NEW The vaccines made by Pfizer-BioNTech and Moderna set off a persistent immune reaction in the body that may protect ag…,Mon Jun 28 14:44:37 +0000 2021,Lovely Pacific Northwest,0.13636363636363635,0.45454545454545453,Positive
Get the shot and stay healthy. It's that simple.,Mon Jun 28 14:44:37 +0000 2021,"St Petersburg, FL",0.25,0.4285714285714286,Positive
Thrilled to receive my 2nd COVID19Vaccine dose today (Moderna this time)! Thank you  and to everyone rolling…,Mon Jun 28 14:44:38 +0000 2021,"Newfoundland and Labrador, CA",0.3,0.35,Positive
First-dose AstraZeneca fever the day after; sore arm for about a week.,,,,,
"Second-dose Moderna (administered yesterda…""",Mon Jun 28 14:44:39 +0000 2021,"Toronto, exiled from Vancouver",0.0,0.0,Neutral
You truly love to see it,Mon Jun 28 14:44:39 +0000 2021,"Atlanta, GA",0.5,0.6,Positive
"We are glad to announce that, through COVAX, the U.S. is providing 1.5 million doses of the Moderna vaccine to Honduras. We…",Mon Jun 28 14:44:40 +0000 2021,"Washington, DC",0.5,1.0,Positive
"As part of the U.S. commitment to help lead the global fight against COVID-19, we are proud to announce the delivery of 1…",Mon Jun 28 14:44:42 +0000 2021,"Miami, FL.",0.4,0.5,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:43 +0000 2021,"Reynosa, Mexico",0.5,0.5,Positive
Great news — Pfizer &amp; Moderna vaccines may protect the body for years ... Yay science,Mon Jun 28 14:44:43 +0000 2021,The Sanctuary State of Vermont,0.8,0.75,Positive
Need more data but promising early signs!,Mon Jun 28 14:44:44 +0000 2021,South Wales,0.27499999999999997,0.43333333333333335,Positive
"fully vaccinated moderna baby, we can date now",Mon Jun 28 14:44:45 +0000 2021,"Miami, Puerto Rico",0.0,0.0,Neutral
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:45 +0000 2021,"Ontario, Canada",0.5,0.5,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:46 +0000 2021,India,0.5,0.5,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:46 +0000 2021,Norwich,0.5,0.5,Positive
Looking like we might not need boosters for Moderna and Pfizer vaccines!,Mon Jun 28 14:44:48 +0000 2021,"Durham/Thomasville, N.C.",0.0,0.0,Neutral
"Pfizer and Moderna Vaccines Likely to Produce Lasting Immunity, Study Finds",Mon Jun 28 14:44:48 +0000 2021,NewJersey,0.0,0.5,Neutral
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:49 +0000 2021,Indonesia,0.5,0.5,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:44:49 +0000 2021,Somewhere Down Town,0.5,0.5,Positive
The FDA is now warning of mild heart issues with the moderna and Pfizer vaccines.,Mon Jun 28 14:44:49 +0000 2021,United States,0.3333333333333333,0.5,Positive
Still swerving ,,,,,
More study ,,,,,
U people study aaaaa wey u conclude aaaa,,,,,
"We go take some""",Mon Jun 28 14:44:50 +0000 2021,Garden Of Eden,0.5,0.5,Positive
"Pfizer and Moderna Vaccines Likely to Produce Lasting Immunity, Study Finds",Mon Jun 28 14:45:21 +0000 2021,NYC,0.0,0.5,Neutral
💪💪💪,,,,,
Pfizer and Moderna Vaccines May Offer Lasting Protection," Study Finds""",Mon Jun 28 14:45:25 +0000 2021,"Chicago, IL",0.0,0.0
"DZRHNationwide Galvez We will be receiving regularly, per month ng Moderna kasama po ang Pfizer.",Mon Jun 28 14:45:25 +0000 2021,"Manila, Philippines",0.0,0.07692307692307693,Neutral
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:45:25 +0000 2021,"Iowa-Minnesota USA, Lima-Peru",0.5,0.5,Positive
NEW The vaccines made by Pfizer-BioNTech and Moderna set off a persistent immune reaction in the body that may protect ag…,Mon Jun 28 14:45:26 +0000 2021,USA,0.13636363636363635,0.45454545454545453,Positive
"Irish Government, please Listen to this compelling science Ireland is an extreme outlier by not allowing Pfizer or Modern…",Mon Jun 28 14:45:26 +0000 2021,Under grey skies,0.05833333333333333,0.5333333333333333,Positive
"Cuba's COVID vaccine rivals BioNTech-Pfizer, Moderna ",,,,,
Cuba named one of its vaccines Abdala," after a verse by indep…""",Mon Jun 28 14:45:26 +0000 2021,"Havana, Cuba",0.0,0.0
"I mean.... people here are already refusing to accept anything other than pfizer, but convincing them that Moderna…",Mon Jun 28 14:45:26 +0000 2021,"Copenhagen, Denmark",0.020833333333333332,0.6875,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:45:27 +0000 2021,"Boston, MA",0.5,0.5,Positive
"In the past 24 hours, 249,600 Moderna and 1M Sinovac arrived in the PH.",,,,,
Latest breakdown as of June 28, 2021,,,,
"Sinovac…""",Mon Jun 28 14:45:28 +0000 2021,she/her,0.125,0.575,Positive
But Indians won't get!,,,,,
Pfizer," Moderna vaccines likely to produce long-lasting immunity Study | Deccan Herald -""",Mon Jun 28 14:45:29 +0000 2021,"Thane, India",0.0,1.0
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:45:31 +0000 2021,"Phitsanulok city,Thailand",0.5,0.5,Positive
"The Pfizer &amp; Moderna shots’ effects could last for years, a detailed look at immune responses suggests  — evidence that m…",Mon Jun 28 14:45:36 +0000 2021,"Toronto, Ontario",0.2,0.4083333333333333,Positive
"Because I had Moderna 45 miles from home in May, I’m finding it impossible to book an early second dose. Plenty of folk…",Mon Jun 28 14:45:37 +0000 2021,London,-0.18888888888888888,0.43333333333333335,Negative
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:45:39 +0000 2021,S. FL,0.5,0.5,Positive
First-dose AstraZeneca fever the day after; sore arm for about a week.,,,,,
"Second-dose Moderna (administered yesterda…""",Mon Jun 28 14:45:42 +0000 2021,"Toronto, via Vancouver",0.0,0.0,Neutral
had dose 1 of Moderna over 30 days ago. Date you gave me for dose 2 is mid-Aug but the info leaflet recommen…,Mon Jun 28 14:45:44 +0000 2021,Location: Probably near food,0.0,0.0,Neutral
Science is wonderous.,Mon Jun 28 14:45:44 +0000 2021,England,0.0,0.0,Neutral
"In the past 24 hours, 249,600 Moderna and 1M Sinovac arrived in the PH.",,,,,
Latest breakdown as of June 28, 2021,,,,
"Sinovac…""",Mon Jun 28 14:45:45 +0000 2021,medlab,0.125,0.575,Positive
"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen…",Mon Jun 28 14:45:47 +0000 2021,Turkey,0.5,0.5,Positive
Boi got his first shot of moderna🤙🏻🤙🏻,Wed Jun 30 13:15:57 +0000 2021,"Scotland, United Kingdom",0.25,0.3333333333333333,Positive
Drive-thru Vaccine appointments available in Truro Rath Eastlink Community Centre Moderna ,,,,,
"Book up to 4 people p…""",Wed Jun 30 13:16:00 +0000 2021,"Halifax, Nova Scotia, Canada",0.4,0.4,Positive
So does that mean that those who want to travel now have to ask to have Pfizer or Moderna if they w…,Wed Jun 30 13:16:02 +0000 2021,worldwide,-0.3125,0.6875,Negative
[ON] 💉2nd DOSES💉LAST DAY💉,,,,,
⭐️SPRINT POSTALS⭐️12+ LIVE/WORK/SCHOOL⭐️MODERNA AND PFIZER⭐️,,,,,
"📍CW Jefferys CI (340 Sentine…""",Wed Jun 30 13:16:02 +0000 2021,Canada,0.0,0.0,Neutral
"Nice, next headline and my joke is already a reality. Vaccine salads.",Wed Jun 30 13:16:05 +0000 2021,NYC,0.3,0.5,Positive
"Moderna Vaccine Protects Against COVID-19 Variants, Including Delta, Study Says",Wed Jun 30 13:16:06 +0000 2021,"Lakeville, MN",0.0,0.0,Neutral
Bruh is this really what passes for “science” these days?,Wed Jun 30 13:16:16 +0000 2021,On My Back Veranda..,0.2,0.2,Positive
Small consolation I suppose. Like saying the embers remaining from a house fire can burn you.,Wed Jun 30 13:16:18 +0000 2021,Fraser Valley,-0.25,0.4,Negative
[ON] 💉2nd DOSES💉LAST DAY💉,,,,,
⭐️SPRINT POSTALS⭐️12+ LIVE/WORK/SCHOOL⭐️MODERNA AND PFIZER⭐️,,,,,
"📍CW Jefferys CI (340 Sentinel Rd)…""",Wed Jun 30 13:16:22 +0000 2021,Canada,0.0,0.0,Neutral
Either! Both Pfizer and Moderna ,,,,,
🧬Are similar mRNA vaccines ,,,,,
"🛡️ Protects you from getting sick and prevents the spread…""",Wed Jun 30 13:16:30 +0000 2021,Brampton,-0.35714285714285715,0.6285714285714286,Negative
Moderna says COVID-19 vaccine performed well in a lab against delta variant,Wed Jun 30 13:16:30 +0000 2021,"Atlanta, GA",0.0,0.0,Neutral
"Pfizer, Moderna vaccines likely to give long-lasting protection, study finds",Wed Jun 30 13:16:36 +0000 2021,"Tennessee, USA",0.0,1.0,Neutral
Minor quibble not a drug. And what exactly do we mean by “restricted use”?,Wed Jun 30 13:16:41 +0000 2021,"Bombay, India",-0.18125,0.44375,Negative
Is there data on that? (the Pfizer &amp; Moderna risk),,,,,
"Genuine question. I'm booked in for one""",Wed Jun 30 13:16:46 +0000 2021,Surfers Paradise (now),0.4,0.5,Positive
"Second dose of Moderna administered with speed, efficiency and friendliness by  staff; apparently the Guy’s fac…",Wed Jun 30 13:16:47 +0000 2021,London,0.025,0.175,Positive
Vaccine appointments are available at,,,,,
Walgreens/Duane Reade (Moderna),,,,,
1612 Westchester Avenue, Bronx, NY, 10472,,
"(8…""",Wed Jun 30 13:16:49 +0000 2021,"New York, NY",0.4,0.4,Positive
"Pleased to share that Taiwan has received our latest batch of 410,000 Moderna vaccines. These will go a long way to ensuring…",Wed Jun 30 13:16:51 +0000 2021,"Jakarta, W. Java, Indonesia",0.31666666666666665,0.7666666666666666,Positive
This brilliant skit perfectly illustrates the epic fraud which has been perpetrated on humanity with the unlicensed experimenta…,Wed Jun 30 13:16:52 +0000 2021,Cloud Recesses,0.6666666666666666,0.7999999999999999,Positive
This brilliant skit perfectly illustrates the epic fraud which has been perpetrated on humanity with the unlicensed experimenta…,Wed Jun 30 13:06:55 +0000 2021,Texas,0.6666666666666666,0.7999999999999999,Positive
In Your Face,Wed Jun 30 13:06:57 +0000 2021,Pa,0.0,0.0,Neutral
A new study suggests the Pfizer and Moderna COVID-19 vaccines set off an immune response that is strong enough to l…,Wed Jun 30 13:07:00 +0000 2021,"Birmingham, Alabama",0.18989898989898987,0.5626262626262626,Positive
Thailand buys 5 million doses of Moderna coronavirus vaccine,Wed Jun 30 13:07:01 +0000 2021,Thailand,0.0,0.0,Neutral
The San Juan City government became the first local government to administer the US-made Moderna vaccines to its re…,Wed Jun 30 13:07:02 +0000 2021,"Quezon City, Philippines",0.125,0.16666666666666666,Positive
This brilliant skit perfectly illustrates the epic fraud which has been perpetrated on humanity with the unlicensed experimenta…,Wed Jun 30 13:07:03 +0000 2021,Blocked by Greg Laurie,0.6666666666666666,0.7999999999999999,Positive
Hospitals set price for Moderna,Wed Jun 30 13:07:06 +0000 2021,France,0.0,0.0,Neutral
"Moderna approval is a welcome step, a shot in the arm. Children likely to benefit too — trials in 12-17 year olds show 10…",Wed Jun 30 13:07:07 +0000 2021,Delhi,0.4,0.95,Positive
The coronavirus vaccine developed by U.S. biotech firm Moderna is effective against the highly contagious delta var…,Wed Jun 30 13:07:07 +0000 2021,"Heath, TX",0.165,0.51,Positive
AppealToGOI  Modi  Stop VaccineJumla  &amp;  impose ivermectin like YogiAdityanath ✅,,,,,
" …""",Wed Jun 30 13:07:10 +0000 2021,India,0.0,0.0,Neutral
"Most Common Q After receiving XYZ vaccine, should I also get Pfizer or Moderna on top of it?",,,,,
"A Wait for now. Studies a…""",Wed Jun 30 13:07:13 +0000 2021,"depalpur,m.p.",0.2333333333333333,0.5,Positive
Pfizer AZ UQ Novavax (and now Moderna). Novavax may prove the best of the lot.,Wed Jun 30 13:07:26 +0000 2021,"Sydney (Oxford, London)",1.0,0.3,Positive
"The coronavirus vaccine developed by U.S. biotech firm Moderna is effective against the highly contagious delta variant, t…",Wed Jun 30 13:07:31 +0000 2021,Illinois,0.165,0.51,Positive
Many Moderna (18+) appointments available tomorrow at Fairview Walmart (2960 Kingsway Dr. Ontario N2C 1X1). Book here h…,Wed Jun 30 13:07:36 +0000 2021,"Stratford, Ontario",0.45,0.45,Positive
If anyone is alarmed by Taiwan's dropping rate of vaccination in the past few days note that the big Moderna batch donated by…,Wed Jun 30 13:07:39 +0000 2021,Chicagoland,-0.15,0.15,Negative
"On June 23, a group of scientists told the CDC’s Advisory Committee on Immunization Practices that mRNA vaccines (those made by P…",Wed Jun 30 13:07:39 +0000 2021,Canada,0.0,0.0,Neutral
Im sooo the guy (white tee) in this video👇🏼,Wed Jun 30 13:07:43 +0000 2021,Sweet Home Alabama,0.0,0.0,Neutral
Tinnitus started with a few weeks of the 2nd Moderna shot. I also have had severe bouts of vertigo,Wed Jun 30 13:07:45 +0000 2021,United States,-0.1,0.05,Negative
Pfizer and Moderna vaccines may provide years of protection from COVID-19,Wed Jun 30 13:18:00 +0000 2021,"Maryland, USA",0.0,0.0,Neutral
Most active stocks in today's pre market trading,,,,,
Virgin Galactic $SPCE,,,,,
$AMD,,,,,
Micron $MU,,,,,
Apple $AAPL,,,,,
Carnival $CCL,,,,,
$GE,,,,,
"Ame…""",Wed Jun 30 13:18:03 +0000 2021,chicago,0.18333333333333335,0.55,Positive
"Pfizer, Moderna vaccines likely to give long-lasting protection, study finds",Wed Jun 30 13:18:12 +0000 2021,"Philadelphia, PA",0.0,1.0,Neutral
"You a whole doctor telling people “I heard if you do this, it’s better so you guys should try it”. No facts. Just socce…",Wed Jun 30 13:18:13 +0000 2021,Minding my business,0.35,0.45,Positive
"Moderna Vaccine Protects Against COVID-19 Variants, Including Delta, Study Says",Wed Jun 30 13:18:14 +0000 2021,"San Jose, CA",0.0,0.0,Neutral
Not niggas having to chase a vaccine with another vaccine,Wed Jun 30 13:18:14 +0000 2021,Harlem,0.0,0.0,Neutral
[ON] ✨SCARBOROUGH POP UP CLINIC STAS NOW✨,,,,,
📍SCHC HUB 2660 Eglinton Ave E,,,,,
🗓️TODAY 9am-2pm,,,,,
"☝️1st dose 12+ LIVE/WORK/SCHOO…""",Wed Jun 30 13:18:15 +0000 2021,Toronto,0.0,0.0,Neutral
"Think I may actually be getting the first headache of my life, thanks Moderna.",Wed Jun 30 13:18:16 +0000 2021,Wigan,0.15,0.2111111111111111,Positive
"Man Dies After Rare Blood Clot Disorder, Received Moderna COVID-19 Vaccine Report",Wed Jun 30 13:18:24 +0000 2021,water's edge,0.3,0.9,Positive
"Pleased to share that Taiwan has received our latest batch of 410,000 Moderna vaccines. These will go a long way to ensuring…",Wed Jun 30 13:18:30 +0000 2021,Taiwan,0.31666666666666665,0.7666666666666666,Positive
GOVT OF INDIA APPROVE MODERNA..HUGE MONEY GIVEN TO BJP MINISTERS BY MODERNA SURELY..KUCH to  SHARAM KARO..GET READY TO INJE…,Wed Jun 30 13:18:34 +0000 2021,Planet Earth 🌎,0.2,0.5,Positive
Pfizer and Moderna vaccines may provide years of protection from COVID-19,Wed Jun 30 13:18:42 +0000 2021,"Duncan, British Columbia",0.0,0.0,Neutral
This brilliant skit perfectly illustrates the epic fraud which has been perpetrated on humanity with the unlicensed experimenta…,Wed Jun 30 13:18:47 +0000 2021,"London, England",0.6666666666666666,0.7999999999999999,Positive
I have a question.,,,,,
"To all the vaccinated people who either got Pfizer or Moderna are there any people who mixed vac…""",Wed Jun 30 13:18:49 +0000 2021,"CT, USA",0.0,0.25,Neutral
Ya my cousin got pzifer first and got moderna as a second dose it’s the similar made but d…,Wed Jun 30 13:18:50 +0000 2021,TORONTO,0.08333333333333333,0.24444444444444446,Positive
Doctors in Pennsylvania documented a case of vaccine-induced thrombotic thrombocytopenia after the second dose of Mode…,Wed Jun 30 13:10:55 +0000 2021,"#Orwell1984, USA",0.0,0.0,Neutral
"The coronavirus vaccine developed by U.S. biotech firm Moderna is effective against the highly contagious delta variant, t…",Wed Jun 30 13:11:01 +0000 2021,Baltimore Md,0.165,0.51,Positive
"Sorry fear-porn pushers, both Pfizer and Moderna protect against the Delta variant. Antibodies protect against the Delta v…",Wed Jun 30 13:11:06 +0000 2021,Atlanta,-0.5,1.0,Negative
"So sorry to hear this, and hope you get better soon! &gt;90% of new cases in UK are Delta, and ~10% of pat…",Wed Jun 30 13:11:13 +0000 2021,"Maryland, USA",0.08712121212121211,0.6515151515151515,Positive
This brilliant skit perfectly illustrates the epic fraud which has been perpetrated on humanity with the unlicensed experimenta…,Wed Jun 30 13:11:14 +0000 2021,"Bristol, England",0.6666666666666666,0.7999999999999999,Positive
Purpuric Rash and Thrombocytopenia After the mRNA-1273 (Moderna) COVID-19 Vaccine.  COVID19…,Wed Jun 30 13:11:16 +0000 2021,"Chennai, India",0.0,0.0,Neutral
[ON] ✨SCARBOROUGH POP UP CLINIC STAS NOW✨,,,,,
📍SCHC HUB 2660 Eglinton Ave E,,,,,
🗓️TODAY 9am-2pm,,,,,
"☝️1st dose 12+ LIVE/WORK/SCHOO…""",Wed Jun 30 13:11:18 +0000 2021,"Toronto, Ontario",0.0,0.0,Neutral
"Join us July 13, 21 for a follow-up presentation as Dr. Heather Hensler addresses facts and answers your questions about the Mode…",Wed Jun 30 13:11:28 +0000 2021,"Michigan, USA",0.0,0.0,Neutral
This brilliant skit perfectly illustrates the epic fraud which has been perpetrated on humanity with the unlicensed experimenta…,Wed Jun 30 13:11:29 +0000 2021,Dallas,0.6666666666666666,0.7999999999999999,Positive
I’m one of the 35%—Moderna.,Wed Jun 30 13:11:33 +0000 2021,"Baton Rouge, LA",0.0,0.0,Neutral
"Pleased to share that Taiwan has received our latest batch of 410,000 Moderna vaccines. These will go a long way to ensuring…",Wed Jun 30 13:11:37 +0000 2021,East Asia,0.31666666666666665,0.7666666666666666,Positive
Whats going on? 2nd moderna jab put me on my ass. just did the update? is the game broken?,Wed Jun 30 13:11:40 +0000 2021,"Saguenay, Québec",-0.26666666666666666,0.26666666666666666,Negative
And there you have it. The Truth. Keep away from these “snake oil salesmen” that are parading as the govt and their “ap…,Wed Jun 30 13:11:48 +0000 2021,"North Little Rock, AR",0.0,0.0,Neutral
Edmonton - Safeway in Abbotsfield (3210 118 Ave) has Moderna appointments available TOMORROW through the 10th!,Thu Jul 01 13:30:57 +0000 2021,"Edmonton, Alberta",0.5,0.4,Positive
Thread,,,,,
Some Phramacokinetics, Geno- &amp; Reprotoxicity highlights, Moderna's report to EMA," mostly animal studies""",Thu Jul 01 13:31:01 +0000 2021,"São Paulo, Brasil"
ONANOLE Moderna walk in vaccine clinic will be held on July 1st with 390 walk in spots available.  1st come 1st serve…,Thu Jul 01 13:31:01 +0000 2021,"Onanole, Manitoba",0.4,0.4,Positive
Data Shows 2 Covid Jabs Protect Against Delta Strain European Regulator  news worldNews…,Thu Jul 01 13:31:11 +0000 2021,"Portland, OR",0.0,0.0,Neutral
The Pfizer and Moderna COVID vaccines use lipid nanoparticles to deliver an mRNA load into cells,,,,,
"This study looks at the ad…""",Thu Jul 01 13:31:18 +0000 2021,"Lake Charles, LA",0.0,0.0,Neutral
Moderna baby,Thu Jul 01 13:31:21 +0000 2021,she/her  •  21,0.0,0.0,Neutral
WHY is the US military giving Pfizer vaxxx to white people &amp; Moderna vaxxx to everyone else? What do they think they know? h…,Thu Jul 01 13:31:27 +0000 2021,"Indiana, USA",-0.05,0.05,Negative
This study has now been peer-reviewed and can be found in the New England Journal of Medicine. 91% efficacy of blocking…,Thu Jul 01 13:31:32 +0000 2021,"Michigan, USA",0.13636363636363635,0.45454545454545453,Positive
A new CDC study finds Moderna’s and Pfizer’s COVID-19 vaccines reduce the risk of infection by 91% for fully vaccinated…,Thu Jul 01 13:31:36 +0000 2021,"Michigan, USA",0.13636363636363635,0.45454545454545453,Positive
The last info I’d read frm experts says even with Pfizer or Moderna you have about a 12% chance of catching  the Delta frm s…,Thu Jul 01 13:31:45 +0000 2021,"Oregon, USA",0.3,0.48333333333333334,Positive
USFDA has added a warning re potential risk of developing heart inflammation to the Pfizer and Moderna vaccines aft…,Thu Jul 01 13:31:47 +0000 2021,New Hampshire-Marco Island FL,0.0,1.0,Neutral
This study has now been peer-reviewed and can be found in the New England Journal of Medicine. 91% efficacy of blocking…,Thu Jul 01 13:31:53 +0000 2021,"Pittsburgh, PA",0.13636363636363635,0.45454545454545453,Positive
Good morning! There are appointments this morning as soon as 1020AM which aren't showing on the calendar. DM me if you want…,Thu Jul 01 13:31:54 +0000 2021,"Ottawa, Canada",0.875,0.6000000000000001,Positive
"1,403 💉fatal events reported to MHRA in UK🇬🇧",,,,,
ASTRAZENECA,,,,,
Reactions 762,706,,,,
Deaths 936 (+32),,,,,
"Blood clot death 70 (+2)…""",Thu Jul 01 13:44:57 +0000 2021,Wokephobic,0.0,0.0,Neutral
The coronavirus vaccine developed by U.S. biotech firm Moderna is effective against the highly contagious delta var…,Thu Jul 01 13:45:06 +0000 2021,"Maryland, USA",0.165,0.51,Positive
A new CDC study finds Moderna’s and Pfizer’s COVID-19 vaccines reduce the risk of infection by 91% for fully vaccinated…,Thu Jul 01 13:45:13 +0000 2021,ᴊᴀᴘᴀɴ,0.13636363636363635,0.45454545454545453,Positive
"Prion proteins form when RNA escapes outside of cells, as in Moderna/Pfizer. ~ Prof. Richard Fleming",Thu Jul 01 13:45:30 +0000 2021,Quelque part dans la neige.,0.0,0.05,Neutral
[ON] 🌈 OTTAWA 🌈,,,,,
📍Shoppers Drug Mart - 1582 Bank St,,,,,
💝Moderna,,,,,
🧑‍💻 Book online ,,,,,
🥇1st dose 18+,,,,,
"🥈2nd…""",Thu Jul 01 13:45:49 +0000 2021,"Ottawa, Canada",0.0,0.0,Neutral
"I had Moderna and felt rough for a whole week. Better now, but going to make sure I take it easy for jab 2",Thu Jul 01 13:45:57 +0000 2021,"Brussels, Belgium",0.3066666666666667,0.6044444444444446,Positive
It even has a name now. “Vaccine Induced Thrombosis”,Thu Jul 01 13:45:58 +0000 2021,Front Range of CO Rockies,0.0,0.0,Neutral
Some good news.,,,,,
"“Moderna says recently completed studies have found the vaccine to have a neutralizing effect against…""",Thu Jul 01 13:46:02 +0000 2021,"Tulsa, OK",0.35,0.42500000000000004,Positive
Moderna said blood samples from fully vaccinated individuals produced antibodies against multiple variants and rese…,Thu Jul 01 13:46:07 +0000 2021,"Maryland, USA",0.0,0.0,Neutral
